,class,length,words,sentences,herdan,maas,simpson,grammar_score,TTR1,TTR2,TTR3,avg_token_length,perplexity
702,1,1685,253,9,1.6817927133093449,0.20269820053142826,0.9822368729397428,0.0,0.5138339920948617,0.9215686274509803,0.9802631578947368,5.329501915708812,8.495777560913151
703,1,1475,241,8,1.696692554873111,0.20530901514011005,0.9817668428573888,0.0,0.5352697095435685,0.9112903225806451,0.975609756097561,4.893877551020408,6.99341879640249
704,1,1240,208,8,1.7435030875817596,0.2132210412695624,0.9819480399408284,0.0,0.49038461538461536,0.9587628865979382,1.0,4.758293838862559,8.521274898767642
705,1,1090,162,8,1.8291573286974228,0.2266500851755276,0.9805288827922573,0.0,0.5679012345679012,0.9333333333333333,1.0,5.478527607361963,7.689815004592884
706,1,1513,228,9,1.714021312700362,0.20828834140208394,0.9781471221914435,0.0043859649122807015,0.5350877192982456,0.8571428571428571,0.9696969696969697,5.430434782608696,8.287680822911625
707,1,665,97,4,2.034229958083369,0.25420674638422147,0.9666276968859603,0.0,0.6288659793814433,0.9818181818181818,1.0,5.581632653061225,8.36902165957454
708,1,823,130,5,1.9118537766432158,0.238473723195564,0.9837278106508875,0.03076923076923077,0.7153846153846154,1.0,1.0,5.175572519083969,14.326466914182685
709,1,930,153,6,1.8499411517374498,0.22972113219363544,0.9801358451877483,0.0,0.5686274509803921,0.963855421686747,0.9878048780487805,4.895424836601308,9.746301636111234
710,1,750,130,5,1.9118537766432158,0.238473723195564,0.9794674556213017,0.0,0.6,0.9672131147540983,1.0,4.6183206106870225,10.043175495753937
711,1,854,134,5,1.9000241947761816,0.236845456297519,0.9788371574961016,0.0,0.6343283582089553,0.9615384615384616,1.0,5.086956521739131,12.932211719230464
712,1,844,128,5,1.9179629177594586,0.23930674291445947,0.97601318359375,0.0,0.6875,1.0,1.0,5.372093023255814,10.251837431629445
713,1,1443,208,8,1.7435030875817596,0.2132210412695624,0.9771172337278106,0.0,0.5144230769230769,0.9363636363636364,0.981651376146789,5.8125,10.907439359228588
714,1,1938,290,12,1.6413068014050138,0.19536469380862667,0.9810344827586206,0.0,0.5517241379310345,0.9440993788819876,0.99375,5.494845360824742,11.056510370314786
715,1,1101,162,7,1.8291573286974228,0.2266500851755276,0.9782807498856881,0.0,0.7283950617283951,0.989247311827957,1.0,5.611111111111111,11.987432673194746
716,1,1129,161,5,1.8313862573448076,0.22698277166013395,0.9769299023957408,0.0,0.5838509316770186,0.9767441860465116,1.0,5.820987654320987,12.067604286075113
717,1,789,113,4,1.9685319840290283,0.24600361891167175,0.9777586341921842,0.0,0.6814159292035398,0.9857142857142858,1.0,5.745614035087719,15.597551442155458
718,1,1066,148,6,1.862241108087805,0.23150630290112525,0.97941015339664,0.02702702702702703,0.6216216216216216,0.945054945054945,0.9888888888888889,5.973154362416107,13.770433374839673
719,1,1140,175,7,1.8018198951572426,0.2225027865749226,0.9760653061224488,0.011428571428571429,0.64,0.9787234042553191,0.989247311827957,5.31638418079096,12.419360576381365
720,1,1330,243,8,1.694139819485636,0.20486497380611313,0.9729038595065116,0.00823045267489712,0.37448559670781895,0.8646616541353384,0.9848484848484849,4.308333333333334,9.729743094151955
